measurement_type,datetimems,measurement
ECG,1405436376497,520
ECG,1405436376501,520
ECG,1405436376505,519
ECG,1405436376509,519
ECG,1405436376513,518
ECG,1405436376517,517
ECG,1405436376521,516
ECG,1405436376525,514
ECG,1405436376529,514
ECG,1405436376533,513
ECG,1405436376537,512
ECG,1405436376541,511
ECG,1405436376545,510
ECG,1405436376549,509
ECG,1405436376553,508
ECG,1405436376557,507
ECG,1405436376561,507
ECG,1405436376565,506
ECG,1405436376569,506
ECG,1405436376573,505
ECG,1405436376577,505
ECG,1405436376581,506
ECG,1405436376585,506
ECG,1405436376589,506
ECG,1405436376593,506
ECG,1405436376597,506
ECG,1405436376601,506
ECG,1405436376605,506
ECG,1405436376609,506
ECG,1405436376613,506
ECG,1405436376617,506
ECG,1405436376621,506
ECG,1405436376625,506
ECG,1405436376629,506
ECG,1405436376633,506
ECG,1405436376637,506
ECG,1405436376641,506
ECG,1405436376645,506
ECG,1405436376662,506
ECG,1405436376666,506
ECG,1405436376670,506
ECG,1405436376674,506
ECG,1405436376678,506
ECG,1405436376682,506
ECG,1405436376686,506
ECG,1405436376690,506
ECG,1405436376694,506
ECG,1405436376698,506
ECG,1405436376702,506
ECG,1405436376706,506
ECG,1405436376710,506
ECG,1405436376714,505
ECG,1405436376718,506
ECG,1405436376722,506
ECG,1405436376726,506
ECG,1405436376730,506
ECG,1405436376734,506
ECG,1405436376738,505
ECG,1405436376742,505
ECG,1405436376746,505
ECG,1405436376750,505
ECG,1405436376754,505
ECG,1405436376758,506
ECG,1405436376762,506
ECG,1405436376766,505
ECG,1405436376770,505
ECG,1405436376774,505
ECG,1405436376778,505
ECG,1405436376782,505
ECG,1405436376786,505
ECG,1405436376790,505
ECG,1405436376794,506
ECG,1405436376798,506
ECG,1405436376802,506
ECG,1405436376806,505
ECG,1405436376810,505
ECG,1405436376814,505
ECG,1405436376818,505
ECG,1405436376822,506
ECG,1405436376826,506
ECG,1405436376830,506
ECG,1405436376834,506
ECG,1405436376838,506
ECG,1405436376842,505
ECG,1405436376846,505
ECG,1405436376850,506
ECG,1405436376854,506
ECG,1405436376858,506
ECG,1405436376862,506
ECG,1405436376866,506
ECG,1405436376870,506
ECG,1405436376874,506
ECG,1405436376878,506
ECG,1405436376882,506
ECG,1405436376886,506
ECG,1405436376890,506
ECG,1405436376894,506
ECG,1405436376898,506
ECG,1405436376902,506
ECG,1405436376906,507
ECG,1405436376910,508
ECG,1405436376908,508
ECG,1405436376912,509
ECG,1405436376916,509
ECG,1405436376920,509
ECG,1405436376924,509
ECG,1405436376928,509
ECG,1405436376932,508
ECG,1405436376936,508
ECG,1405436376940,508
ECG,1405436376944,508
ECG,1405436376948,508
ECG,1405436376952,508
ECG,1405436376956,508
ECG,1405436376960,507
ECG,1405436376964,506
ECG,1405436376968,506
ECG,1405436376972,505
ECG,1405436376976,505
ECG,1405436376980,505
ECG,1405436376984,505
ECG,1405436376988,505
ECG,1405436376992,505
ECG,1405436376996,505
ECG,1405436377000,506
ECG,1405436377004,505
ECG,1405436377008,505
ECG,1405436377012,505
ECG,1405436377016,505
ECG,1405436377020,505
ECG,1405436377024,505
ECG,1405436377028,505
ECG,1405436377032,505
ECG,1405436377036,505
ECG,1405436377040,505
ECG,1405436377044,506
ECG,1405436377048,506
ECG,1405436377052,506
ECG,1405436377056,504
ECG,1405436377060,502
ECG,1405436377064,501
ECG,1405436377068,501
ECG,1405436377072,504
ECG,1405436377076,509
ECG,1405436377080,518
ECG,1405436377084,529
ECG,1405436377088,541
ECG,1405436377092,551
ECG,1405436377096,555
ECG,1405436377100,549
ECG,1405436377104,534
ECG,1405436377108,516
ECG,1405436377112,502
ECG,1405436377116,496
ECG,1405436377120,497
ECG,1405436377124,501
ECG,1405436377128,505
ECG,1405436377132,506
ECG,1405436377136,505
ECG,1405436377140,504
ECG,1405436377144,504
ECG,1405436377148,505
ECG,1405436377152,505
ECG,1405436377156,506
ECG,1405436377156,506
ECG,1405436377160,506
ECG,1405436377164,506
ECG,1405436377168,505
ECG,1405436377172,506
ECG,1405436377176,506
ECG,1405436377180,506
ECG,1405436377184,506
ECG,1405436377188,507
ECG,1405436377192,507
ECG,1405436377196,507
ECG,1405436377200,507
ECG,1405436377204,507
ECG,1405436377208,507
ECG,1405436377212,507
ECG,1405436377216,507
ECG,1405436377220,508
ECG,1405436377224,508
ECG,1405436377228,508
ECG,1405436377232,508
ECG,1405436377236,509
ECG,1405436377240,509
ECG,1405436377244,509
ECG,1405436377248,510
ECG,1405436377252,511
ECG,1405436377256,512
ECG,1405436377260,512
ECG,1405436377264,512
ECG,1405436377268,513
ECG,1405436377272,513
ECG,1405436377276,514
ECG,1405436377280,515
ECG,1405436377284,515
ECG,1405436377288,516
ECG,1405436377292,516
ECG,1405436377296,516
ECG,1405436377300,517
ECG,1405436377304,517
ECG,1405436377308,518
ECG,1405436377312,518
ECG,1405436377316,519
ECG,1405436377320,519
ECG,1405436377324,519
ECG,1405436377328,518
ECG,1405436377332,518
ECG,1405436377336,517
ECG,1405436377340,517
ECG,1405436377344,516
ECG,1405436377348,515
ECG,1405436377352,513
ECG,1405436377356,512
ECG,1405436377360,511
ECG,1405436377364,510
ECG,1405436377368,509
ECG,1405436377372,508
ECG,1405436377376,507
ECG,1405436377380,506
ECG,1405436377384,505
ECG,1405436377388,504
ECG,1405436377392,504
ECG,1405436377396,504
ECG,1405436377400,504
ECG,1405436377404,504
ECG,1405436377406,504
ECG,1405436377410,504
ECG,1405436377414,504
ECG,1405436377418,504
ECG,1405436377422,504
ECG,1405436377426,504
ECG,1405436377430,504
ECG,1405436377434,505
ECG,1405436377438,505
ECG,1405436377442,506
ECG,1405436377446,506
ECG,1405436377450,506
ECG,1405436377454,506
ECG,1405436377458,505
ECG,1405436377462,505
ECG,1405436377466,505
ECG,1405436377470,505
ECG,1405436377474,505
ECG,1405436377478,506
ECG,1405436377482,506
ECG,1405436377486,506
ECG,1405436377490,506
ECG,1405436377494,506
ECG,1405436377498,506
ECG,1405436377502,506
ECG,1405436377506,506
ECG,1405436377510,506
ECG,1405436377514,505
ECG,1405436377518,505
ECG,1405436377522,505
ECG,1405436377526,505
ECG,1405436377530,505
ECG,1405436377534,505
ECG,1405436377538,505
ECG,1405436377542,505
ECG,1405436377546,504
ECG,1405436377550,504
ECG,1405436377554,505
ECG,1405436377558,505
ECG,1405436377562,505
ECG,1405436377566,505
ECG,1405436377570,505
ECG,1405436377574,505
ECG,1405436377578,505
ECG,1405436377582,505
ECG,1405436377586,505
ECG,1405436377590,505
ECG,1405436377594,505
ECG,1405436377598,505
ECG,1405436377602,505
ECG,1405436377606,505
ECG,1405436377610,505
ECG,1405436377614,505
ECG,1405436377618,505
ECG,1405436377622,505
ECG,1405436377626,505
ECG,1405436377630,505
ECG,1405436377634,505
ECG,1405436377638,505
ECG,1405436377642,505
ECG,1405436377646,505
ECG,1405436377650,505
ECG,1405436377654,505
ECG,1405436377674,505
ECG,1405436377678,505
ECG,1405436377682,504
ECG,1405436377686,504
ECG,1405436377690,505
ECG,1405436377694,505
ECG,1405436377698,506
ECG,1405436377702,506
ECG,1405436377706,506
ECG,1405436377710,506
ECG,1405436377714,507
ECG,1405436377718,507
ECG,1405436377722,508
ECG,1405436377726,508
ECG,1405436377730,509
ECG,1405436377734,509
ECG,1405436377738,509
ECG,1405436377742,509
ECG,1405436377746,509
ECG,1405436377750,509
ECG,1405436377754,508
ECG,1405436377758,508
ECG,1405436377762,507
ECG,1405436377766,507
ECG,1405436377770,507
ECG,1405436377774,506
ECG,1405436377778,506
ECG,1405436377782,505
ECG,1405436377786,505
ECG,1405436377790,505
ECG,1405436377794,505
ECG,1405436377798,504
ECG,1405436377802,504
ECG,1405436377806,504
ECG,1405436377810,504
ECG,1405436377814,505
ECG,1405436377818,505
ECG,1405436377822,505
ECG,1405436377826,505
ECG,1405436377830,504
ECG,1405436377834,504
ECG,1405436377838,504
ECG,1405436377842,505
ECG,1405436377846,505
ECG,1405436377850,505
ECG,1405436377854,506
ECG,1405436377858,506
ECG,1405436377862,506
ECG,1405436377866,505
ECG,1405436377870,504
ECG,1405436377874,503
ECG,1405436377878,501
ECG,1405436377882,500
ECG,1405436377886,503
ECG,1405436377890,508
ECG,1405436377894,515
ECG,1405436377898,526
ECG,1405436377902,539
ECG,1405436377906,550
ECG,1405436377910,555
ECG,1405436377914,552
ECG,1405436377918,539
ECG,1405436377922,521
ECG,1405436377910,506
ECG,1405436377914,498
ECG,1405436377918,498
ECG,1405436377922,502
ECG,1405436377926,506
ECG,1405436377930,507
ECG,1405436377934,506
ECG,1405436377938,505
ECG,1405436377942,506
ECG,1405436377946,506
ECG,1405436377950,507
ECG,1405436377954,507
ECG,1405436377958,507
ECG,1405436377962,508
ECG,1405436377966,508
ECG,1405436377970,508
ECG,1405436377974,509
ECG,1405436377978,509
ECG,1405436377982,509
ECG,1405436377986,509
ECG,1405436377990,509
ECG,1405436377994,509
ECG,1405436377998,510
ECG,1405436378002,510
ECG,1405436378006,510
ECG,1405436378010,510
ECG,1405436378014,510
ECG,1405436378018,510
ECG,1405436378022,510
ECG,1405436378026,510
ECG,1405436378030,511
ECG,1405436378034,511
ECG,1405436378038,511
ECG,1405436378042,511
ECG,1405436378046,512
ECG,1405436378050,512
ECG,1405436378054,512
ECG,1405436378058,513
ECG,1405436378062,513
ECG,1405436378066,514
ECG,1405436378070,514
ECG,1405436378074,515
ECG,1405436378078,515
ECG,1405436378082,516
ECG,1405436378086,516
ECG,1405436378090,517
ECG,1405436378094,517
ECG,1405436378098,518
ECG,1405436378102,519
ECG,1405436378106,519
ECG,1405436378110,520
ECG,1405436378114,520
ECG,1405436378118,520
ECG,1405436378122,520
ECG,1405436378126,520
ECG,1405436378130,520
ECG,1405436378134,519
ECG,1405436378138,519
ECG,1405436378142,518
ECG,1405436378146,517
ECG,1405436378150,516
ECG,1405436378154,515
ECG,1405436378158,513
ECG,1405436378162,512
ECG,1405436378166,511
ECG,1405436378170,510
ECG,1405436378174,509
ECG,1405436378178,508
ECG,1405436378182,508
ECG,1405436378186,507
ECG,1405436378190,506
ECG,1405436378194,506
ECG,1405436378198,506
ECG,1405436378202,506
ECG,1405436378206,506
ECG,1405436378210,506
ECG,1405436378214,506
ECG,1405436378218,506
ECG,1405436378222,506
ECG,1405436378226,506
ECG,1405436378230,506
ECG,1405436378234,506
ECG,1405436378238,506
ECG,1405436378242,506
ECG,1405436378246,506
ECG,1405436378250,506
ECG,1405436378254,506
ECG,1405436378258,506
ECG,1405436378262,506
ECG,1405436378266,507
ECG,1405436378270,507
ECG,1405436378274,508
ECG,1405436378278,508
ECG,1405436378282,508
ECG,1405436378286,508
ECG,1405436378290,508
ECG,1405436378294,508
ECG,1405436378298,508
ECG,1405436378302,507
ECG,1405436378306,508
ECG,1405436378310,508
ECG,1405436378314,508
ECG,1405436378318,508
ECG,1405436378322,507
ECG,1405436378326,507
ECG,1405436378330,507
ECG,1405436378334,507
ECG,1405436378338,507
ECG,1405436378342,507
ECG,1405436378346,507
ECG,1405436378350,507
ECG,1405436378354,507
ECG,1405436378358,507
ECG,1405436378362,507
ECG,1405436378366,507
ECG,1405436378370,507
ECG,1405436378374,507
ECG,1405436378378,507
ECG,1405436378382,507
ECG,1405436378386,507
ECG,1405436378390,507
ECG,1405436378394,507
ECG,1405436378398,507
ECG,1405436378402,507
ECG,1405436378406,506
ECG,1405436378410,506
ECG,1405436378404,506
ECG,1405436378408,507
ECG,1405436378412,507
ECG,1405436378416,507
ECG,1405436378420,507
ECG,1405436378424,507
ECG,1405436378428,507
ECG,1405436378432,507
ECG,1405436378436,507
ECG,1405436378440,507
ECG,1405436378444,507
ECG,1405436378448,507
ECG,1405436378452,507
ECG,1405436378456,507
ECG,1405436378460,506
ECG,1405436378464,506
ECG,1405436378468,506
ECG,1405436378472,506
ECG,1405436378476,507
ECG,1405436378480,507
ECG,1405436378484,507
ECG,1405436378488,507
ECG,1405436378492,507
ECG,1405436378496,507
ECG,1405436378500,508
ECG,1405436378504,508
ECG,1405436378508,509
ECG,1405436378512,510
ECG,1405436378516,510
ECG,1405436378520,511
ECG,1405436378524,510
ECG,1405436378528,510
ECG,1405436378532,510
ECG,1405436378536,510
ECG,1405436378540,510
ECG,1405436378544,510
ECG,1405436378548,510
ECG,1405436378552,510
ECG,1405436378556,510
ECG,1405436378560,509
ECG,1405436378564,508
ECG,1405436378568,508
ECG,1405436378572,507
ECG,1405436378576,507
ECG,1405436378580,507
ECG,1405436378584,507
ECG,1405436378588,507
ECG,1405436378592,507
ECG,1405436378596,506
ECG,1405436378600,506
ECG,1405436378604,506
ECG,1405436378608,506
ECG,1405436378612,506
ECG,1405436378616,506
ECG,1405436378620,507
ECG,1405436378624,507
ECG,1405436378628,507
ECG,1405436378632,507
ECG,1405436378636,507
ECG,1405436378640,507
ECG,1405436378644,507
ECG,1405436378648,507
ECG,1405436378652,508
ECG,1405436378680,507
ECG,1405436378684,506
ECG,1405436378688,505
ECG,1405436378692,503
ECG,1405436378696,502
ECG,1405436378700,503
ECG,1405436378704,508
ECG,1405436378708,514
ECG,1405436378712,524
ECG,1405436378716,536
ECG,1405436378720,548
ECG,1405436378724,555
ECG,1405436378728,553
ECG,1405436378732,542
ECG,1405436378736,525
ECG,1405436378740,510
ECG,1405436378744,501
ECG,1405436378748,499
ECG,1405436378752,502
ECG,1405436378756,506
ECG,1405436378760,508
ECG,1405436378764,508
ECG,1405436378768,507
ECG,1405436378772,507
ECG,1405436378776,507
ECG,1405436378780,507
ECG,1405436378784,508
ECG,1405436378788,508
ECG,1405436378792,508
ECG,1405436378796,508
ECG,1405436378800,508
ECG,1405436378804,507
ECG,1405436378808,508
ECG,1405436378812,508
ECG,1405436378816,508
ECG,1405436378820,508
ECG,1405436378824,509
ECG,1405436378828,509
ECG,1405436378832,510
ECG,1405436378836,510
ECG,1405436378840,510
ECG,1405436378844,510
ECG,1405436378848,510
ECG,1405436378852,510
ECG,1405436378856,510
ECG,1405436378860,511
ECG,1405436378864,511
ECG,1405436378868,512
ECG,1405436378872,512
ECG,1405436378876,512
ECG,1405436378880,512
ECG,1405436378884,513
ECG,1405436378888,513
